Wall time,Step,Value
1638815143.7822828,1254,-3.4285123348236084
1638815145.2909706,1257,-4.321551322937012
1638815147.303765,1261,-4.321551322937012
1638815150.320444,1267,-4.7703752517700195
1638815152.3318503,1271,-4.7703752517700195
1638815154.8481998,1276,-4.7703752517700195
1638815165.9091208,1298,-19.084375381469727
1638815179.488652,1325,-14.64632511138916
1638815189.5436382,1345,-5.322994232177734
1638815197.0857399,1360,7.139134883880615
1638815199.0998504,1364,-16.9351863861084
1638815204.6349342,1375,-9.644604682922363
1638815205.1377938,1376,-9.644604682922363
1638815225.759782,1417,-30.269262313842773
1638815236.3170319,1438,-10.569289207458496
1638815236.8202302,1439,-10.569289207458496
1638815245.870657,1457,10.360429763793945
1638815246.3734329,1458,10.360429763793945
1638815254.4166996,1474,-15.972406387329102
1638815255.4225955,1476,7.16895055770874
1638815264.4722538,1494,-14.778159141540527
1638815268.4955633,1502,-17.48495864868164
1638815272.5178552,1510,-20.14859390258789
1638815274.0280776,1513,-20.14859390258789
1638815291.6291122,1548,-11.382903099060059
1638815293.1372185,1551,-11.382903099060059
1638815300.1799796,1565,-26.702987670898438
1638815301.6885471,1568,-26.702987670898438
1638815304.2014527,1573,-26.702987670898438
1638815310.2342682,1585,-15.128520965576172
1638815315.7696948,1596,-6.27405309677124
1638815318.2833967,1601,-6.27405309677124
1638815331.3564723,1627,-11.127058982849121
1638815335.3784754,1635,-20.898054122924805
1638815352.9775555,1670,-16.843242645263672
1638815357.5022197,1679,-10.754103660583496
1638815360.5189888,1685,-10.754103660583496
1638815369.067768,1702,-31.149789810180664
1638815370.0730233,1704,9.2962646484375
1638815371.5832787,1707,9.2962646484375
1638815373.5941138,1711,-9.484038352966309
1638815405.7663426,1775,-18.719013214111328
1638815406.7717788,1777,-18.719013214111328
1638815412.8064709,1789,-18.381990432739258
1638815414.3156903,1792,-18.381990432739258
1638815441.9751565,1847,-12.730439186096191
1638815443.9859989,1851,-4.724009990692139
1638815448.51508,1860,-0.16437582671642303
1638815452.0357187,1867,6.7874932289123535
1638815462.5972633,1888,-2.8321533203125
1638815468.1299791,1899,-6.435082912445068
1638815469.639578,1902,-6.435082912445068
1638815472.6569939,1908,-6.435082912445068
1638815473.1597967,1909,-6.435082912445068
1638815480.704858,1924,-6.743265151977539
1638815486.7376354,1936,-0.7441593408584595
1638815488.7485347,1940,-0.7441593408584595
1638815491.2641172,1945,2.897805690765381
1638815492.2699003,1947,2.897805690765381
1638815498.8106756,1960,-7.077890396118164
1638815499.313404,1961,-7.077890396118164
1638815501.828253,1966,-10.464656829833984
1638815508.3633866,1979,-6.145193099975586
1638815554.1311908,2070,5.154263019561768
1638815558.6579487,2079,7.601029396057129
1638815563.6899016,2089,-5.477363109588623
1638815569.221914,2100,-5.126630783081055
1638815576.261792,2114,-9.632901191711426
1638815576.7643828,2115,-9.632901191711426
1638815578.7756906,2119,-9.632901191711426
1638815579.2786236,2120,-9.632901191711426
1638815588.8390172,2139,-26.004852294921875
1638815616.4999456,2194,2.076385974884033
1638815624.0495718,2209,2.076385974884033
1638815627.06697,2215,2.076385974884033
