Wall time,Step,Value
1639407550.248801,18,0.06871575117111206
1639407572.462548,47,0.06825845688581467
1639407573.381828,62,0.06829182058572769
1639407573.45243,63,0.06674196571111679
1639407599.055286,89,0.06877057999372482
1639407600.047034,103,0.0677410364151001
1639407600.354265,107,0.06815597414970398
1639407621.627587,128,0.06489364802837372
1639407642.789658,164,0.06555622071027756
1639407643.389452,172,0.065792515873909
1639407644.801218,191,0.06295564025640488
1639407665.283986,203,0.06156260892748833
1639407689.286787,244,0.06475184112787247
1639407690.36892,259,0.06268259882926941
1639407713.317417,282,0.0630984753370285
1639407713.537684,285,0.06256866455078125
1639407715.976967,319,0.06167791411280632
1639407762.960397,366,0.06398402154445648
1639407764.406579,386,0.06407774984836578
1639407782.897301,402,0.06374207139015198
1639407783.843438,415,0.06290224194526672
1639407785.487162,437,0.062078822404146194
1639407806.867755,465,0.060646120458841324
1639407807.692905,475,0.061427611857652664
1639407827.810806,481,0.06000860780477524
1639407830.007875,510,0.06180228665471077
1639407851.54852,533,0.06082659959793091
1639407851.933243,538,0.060952067375183105
1639407852.085687,540,0.060233429074287415
1639407853.277327,556,0.057829223573207855
1639407876.638121,562,0.061809077858924866
1639407879.199479,596,0.06049454212188721
1639407903.897227,637,0.058480504900217056
1639407922.233489,643,0.05886857584118843
1639407922.310157,644,0.06295189261436462
1639407923.34693,658,0.06133217737078667
1639407924.655361,675,0.05898730456829071
1639407966.444013,721,0.05730949714779854
1639407985.987082,764,0.05902102589607239
1639407986.799139,775,0.059603095054626465
1639408008.549014,804,0.05866378918290138
1639408032.527164,857,0.0576813742518425
1639408033.124587,866,0.061468787491321564
1639408051.904136,886,0.057572245597839355
1639408075.146342,942,0.059928033500909805
1639408099.818146,999,0.05781345069408417
1639408124.102738,1015,0.05872686207294464
1639408124.935776,1026,0.05835308879613876
1639408125.758387,1037,0.05791199952363968
1639408152.193918,1056,0.060487836599349976
1639408153.485176,1071,0.05963240563869476
1639408184.612116,1109,0.06138428673148155
1639408184.815806,1111,0.06189636513590813
1639408205.837444,1125,0.060251958668231964
1639408206.317662,1132,0.06256401538848877
1639408207.731414,1151,0.06168927252292633
1639408207.81637,1152,0.05998038128018379
1639408224.102807,1164,0.05869992822408676
1639408224.852923,1174,0.05922436714172363
1639408225.007757,1176,0.05892966687679291
1639408225.563085,1184,0.06370119750499725
1639408244.9645,1218,0.062031835317611694
1639408267.372034,1252,0.05926625803112984
1639408267.501368,1254,0.05852586403489113
1639408267.703926,1257,0.05794910341501236
1639408268.014663,1261,0.0576978400349617
1639408268.419106,1267,0.05693335831165314
1639408268.744223,1271,0.05687856301665306
1639408309.281592,1325,0.057127438485622406
1639408310.644503,1345,0.05628107860684395
1639408333.827172,1375,0.0594610795378685
1639408333.901999,1376,0.06155065447092056
1639408353.086232,1417,0.05772979557514191
1639408370.999564,1457,0.057324253022670746
1639408371.078255,1458,0.057326607406139374
1639408395.38976,1494,0.05702938139438629
1639408397.047609,1510,0.05556624382734299
1639408397.332997,1513,0.05439860373735428
1639408430.405805,1548,0.05603018403053284
1639408430.644493,1551,0.05621268227696419
1639408453.476983,1565,0.056922029703855515
1639408455.471515,1585,0.05400557070970535
1639408456.484629,1596,0.05504777282476425
1639408481.315379,1627,0.05727950856089592
1639408482.005226,1635,0.054170873016119
1639408514.16007,1670,0.05632873997092247
1639408537.109206,1685,0.0531994104385376
1639408538.307001,1702,0.054502252489328384
1639408538.453151,1704,0.052903905510902405
1639408538.990733,1711,0.055988017469644547
1639408588.65368,1777,0.05205482244491577
1639408625.746496,1847,0.05412070453166962
1639408626.717453,1860,0.05333876609802246
1639408627.265713,1867,0.0514497235417366
1639408646.294931,1899,0.05298396572470665
1639408646.474359,1902,0.05030343681573868
1639408646.945096,1909,0.05153362452983856
1639408663.208929,1940,0.052934013307094574
1639408682.755775,1960,0.05432628095149994
1639408682.830148,1961,0.05542635917663574
1639408684.121501,1979,0.05023469775915146
1639408723.800137,2070,0.05129113793373108
1639408724.46832,2079,0.05160115286707878
1639408739.494969,2089,0.051821254193782806
1639408740.241215,2100,0.050695694983005524
1639408795.799434,2209,0.05447279289364815
1639408797.799236,2239,0.054186634719371796
1639408835.448333,2319,0.05235306918621063
1639408852.794893,2359,0.0525905005633831
1639408869.226864,2394,0.049692302942276
1639408886.636701,2436,0.05063602328300476
1639408900.945472,2441,0.05081604793667793
1639408901.783121,2454,0.0517134815454483
1639408902.342109,2462,0.048212941735982895
1639408902.535657,2465,0.04945310205221176
1639408918.720775,2485,0.051539674401283264
1639408919.933183,2503,0.04955947771668434
1639408920.863253,2517,0.0463491827249527
1639408935.658511,2530,0.04963546246290207
1639408954.419326,2577,0.049545831978321075
1639408954.496425,2578,0.04860983043909073
1639408956.073607,2599,0.04873175173997879
1639408973.170696,2627,0.0482381246984005
1639408973.707751,2635,0.04775051400065422
1639408987.422217,2643,0.05156395584344864
1639409005.959117,2684,0.047806330025196075
1639409006.591766,2693,0.04811513423919678
1639409007.601535,2708,0.0482591912150383
1639409008.17604,2717,0.04771128669381142
1639409024.983989,2734,0.0482654944062233
1639409025.346815,2740,0.04835594445466995
1639409026.191089,2753,0.0482160821557045
1639409026.248401,2754,0.04682508856058121
1639409026.312288,2755,0.046990156173706055
1639409042.950293,2768,0.048777587711811066
1639409044.206353,2785,0.04965953528881073
1639409061.436907,2812,0.048281263560056686
1639409063.043173,2834,0.04579123109579086
1639409077.055838,2844,0.04692092537879944
1639409078.213289,2861,0.046574778854846954
1639409109.99621,2921,0.045398443937301636
1639409112.293615,2952,0.045966971665620804
1639409112.554642,2955,0.04708878695964813
1639409127.139095,2962,0.04890042170882225
1639409127.853968,2973,0.04650181531906128
1639409146.849651,3034,0.04456710442900658
1639409180.637144,3083,0.04624175280332565
1639409180.695209,3084,0.04859718307852745
1639409181.982995,3104,0.04471926763653755
1639409182.061763,3105,0.04748884588479996
1639409196.271027,3120,0.04575979709625244
1639409197.885949,3145,0.04625553637742996
1639409215.625704,3173,0.0457422100007534
1639409216.921428,3192,0.04565431922674179
1639409217.390962,3199,0.04736490547657013
1639409231.973662,3217,0.04824443534016609
1639409232.144766,3220,0.047096848487854004
1639409248.002536,3241,0.04503832384943962
1639409249.591531,3265,0.04451136291027069
1639409249.794837,3268,0.04404672607779503
1639409268.532695,3306,0.04679356515407562
1639409284.923568,3356,0.041699521243572235
1639409321.572966,3404,0.049832336604595184
1639409339.63028,3461,0.04926859959959984
1639409357.057413,3483,0.049265868961811066
1639409357.121883,3484,0.04914463683962822
1639409357.60771,3491,0.05125889182090759
1639409358.211311,3500,0.04993452876806259
1639409373.351916,3526,0.04819630831480026
1639409391.674851,3566,0.04613407328724861
1639409391.894361,3569,0.04397818073630333
1639409408.851988,3600,0.04698151350021362
1639409409.989106,3616,0.04734429717063904
1639409427.291297,3654,0.04674635827541351
1639409427.531442,3657,0.044531628489494324
1639409427.851034,3661,0.046581145375967026
1639409428.382122,3668,0.044169455766677856
1639409428.602466,3671,0.04390324279665947
1639409445.261173,3690,0.04696700721979141
1639409446.781955,3712,0.04426487535238266
1639409480.055594,3761,0.04772781580686569
1639409481.485216,3782,0.04691026732325554
