Wall time,Step,Value
1638815498.8107507,1960,103.0
1638815499.3134804,1961,103.0
1638815501.8283346,1966,122.0
1638815508.363513,1979,165.0
1638815554.131326,2070,119.0
1638815558.6580753,2079,161.0
1638815563.6899812,2089,115.0
1638815569.221993,2100,106.0
1638815576.261871,2114,114.0
1638815576.7645175,2115,114.0
1638815578.7758133,2119,114.0
1638815579.278756,2120,114.0
1638815588.8391266,2139,94.0
1638815616.5000367,2194,104.0
1638815624.0496511,2209,104.0
1638815627.0671027,2215,104.0
1638815639.1359594,2239,104.0
1638815641.6504273,2244,104.0
1638815679.3702757,2319,112.0
1638815690.938713,2342,113.0
1638815699.4876337,2359,143.0
1638815717.085615,2394,155.0
1638815738.210207,2436,108.0
1638815740.7224543,2441,108.0
1638815747.2593982,2454,82.0
1638815751.281563,2462,93.0
1638815752.789744,2465,93.0
1638815762.8444972,2485,97.0
1638815769.3785682,2498,127.0
1638815771.8920958,2503,117.0
1638815778.9335415,2517,117.0
1638815779.938937,2519,117.0
1638815784.462316,2528,117.0
1638815785.4678996,2530,117.0
1638815803.5802548,2566,88.0
1638815809.116613,2577,88.0
1638815809.6191316,2578,139.0
1638815814.645609,2588,139.0
1638815820.1817183,2599,139.0
1638815823.7008934,2606,139.0
1638815830.2443435,2619,139.0
1638815834.2664843,2627,139.0
1638815838.2887094,2635,139.0
1638815842.3120754,2643,700.0
1638815855.8889163,2670,152.0
1638815857.9088356,2674,152.0
1638815861.434036,2681,153.0
1638815862.943067,2684,153.0
1638815863.9486852,2686,153.0
1638815865.4594562,2689,153.0
1638815867.4699423,2693,122.0
1638815871.9976315,2702,122.0
1638815875.0176911,2708,125.0
1638815877.5325172,2713,125.0
1638815879.5443435,2717,134.0
1638815885.5797849,2729,125.0
1638815886.082472,2730,125.0
1638815888.0930536,2734,125.0
1638815890.60572,2739,125.0
1638815891.1081471,2740,125.0
1638815897.6452262,2753,125.0
1638815898.1479633,2754,125.0
1638815898.6518304,2755,125.0
1638815901.1671515,2760,125.0
1638815903.6819274,2765,125.0
1638815905.1909697,2768,125.0
1638815910.2191184,2778,125.0
1638815913.7381296,2785,125.0
1638815927.31709,2812,152.0
1638815938.380327,2834,108.0
1638815943.4066405,2844,156.0
1638815951.957137,2861,187.0
1638815952.459925,2862,187.0
1638815982.1403413,2921,224.0
1638815988.675872,2934,224.0
1638815997.7304707,2952,700.0
1638815999.239051,2955,700.0
1638816002.7625368,2962,700.0
1638816004.2741165,2965,700.0
1638816008.2972355,2973,700.0
1638816031.4324353,3019,99.0
1638816038.978476,3034,99.0
1638816045.5151875,3047,334.0
1638816063.6282904,3083,129.0
1638816064.1313543,3084,129.0
1638816073.6885455,3103,111.0
1638816074.1912339,3104,111.0
1638816074.6942904,3105,111.0
