Wall time,Step,Value
1639407550.246409,18,3.483473062515259
1639407572.460347,47,3.44814395904541
1639407573.378754,62,3.11375093460083
1639407573.45035,63,2.9629342555999756
1639407599.053079,89,3.7091312408447266
1639407600.043976,103,3.266355037689209
1639407600.351177,107,3.1594648361206055
1639407621.624361,128,3.332695245742798
1639407642.786471,164,2.987812042236328
1639407643.387252,172,2.8944852352142334
1639407644.798334,191,2.8268632888793945
1639407665.280804,203,3.0340769290924072
1639407689.28379,244,2.7942237854003906
1639407690.366192,259,2.7918875217437744
1639407713.314154,282,2.8998231887817383
1639407713.534989,285,2.6424598693847656
1639407715.974758,319,2.6414618492126465
1639407762.957685,366,2.59179425239563
1639407764.404836,386,2.6217896938323975
1639407782.894383,402,2.6773929595947266
1639407783.840394,415,2.441652536392212
1639407785.484325,437,2.480487823486328
1639407806.864641,465,2.6127800941467285
1639407807.68977,475,2.621281623840332
1639407827.807868,481,2.4791431427001953
1639407830.005719,510,2.5207343101501465
1639407851.543211,533,2.1218154430389404
1639407851.93017,538,2.3433220386505127
1639407852.082614,540,2.2344536781311035
1639407853.274295,556,2.288818120956421
1639407876.635369,562,2.5864720344543457
1639407879.197478,596,2.3652138710021973
1639407903.893759,637,2.3263702392578125
1639407922.229726,643,2.468872308731079
1639407922.3071,644,2.489274740219116
1639407923.343688,658,2.235105514526367
1639407924.653566,675,2.180469036102295
1639407966.441218,721,2.3625783920288086
1639407985.983782,764,2.1957876682281494
1639407986.795933,775,2.2442855834960938
1639408008.546071,804,2.0918285846710205
1639408032.524323,857,2.0182502269744873
1639408033.121381,866,2.071408748626709
1639408051.90172,886,2.1194851398468018
1639408075.144053,942,2.079271078109741
1639408099.814416,999,1.8710482120513916
1639408124.099884,1015,2.255765199661255
1639408124.932662,1026,2.0880179405212402
1639408125.755361,1037,2.0356976985931396
1639408152.190695,1056,2.139042615890503
1639408153.482164,1071,2.1199686527252197
1639408184.608909,1109,2.030925989151001
1639408184.812542,1111,2.128460645675659
1639408205.832644,1125,2.1827704906463623
1639408206.314606,1132,2.1353230476379395
1639408207.728098,1151,2.080371141433716
1639408207.812942,1152,2.122443914413452
1639408224.099495,1164,2.2450480461120605
1639408224.850957,1174,2.41286301612854
1639408225.004879,1176,2.08819317817688
1639408225.560104,1184,2.2946417331695557
1639408244.961309,1218,2.128905773162842
1639408267.36883,1252,2.1146528720855713
1639408267.498188,1254,1.955729603767395
1639408267.700825,1257,2.117192268371582
1639408268.012058,1261,2.0319876670837402
1639408268.416076,1267,2.0016257762908936
1639408268.74202,1271,1.8716996908187866
1639408309.278732,1325,2.0587031841278076
1639408310.641189,1345,1.9261192083358765
1639408333.899056,1376,2.248805522918701
1639408353.082953,1417,1.8059191703796387
1639408370.996517,1457,1.9250156879425049
1639408371.076126,1458,2.032626152038574
1639408395.377422,1494,1.9781488180160522
1639408397.044445,1510,1.8485994338989258
1639408397.3302,1513,1.7788180112838745
1639408430.403278,1548,1.8123525381088257
1639408430.642361,1551,1.9454448223114014
1639408453.474532,1565,2.0185129642486572
1639408455.46857,1585,1.7923108339309692
1639408456.481962,1596,1.813801646232605
1639408481.312312,1627,1.5676130056381226
1639408482.002304,1635,1.8776546716690063
1639408514.156496,1670,1.7664086818695068
1639408537.106087,1685,1.88968026638031
1639408538.303764,1702,1.921225905418396
1639408538.450089,1704,1.9385217428207397
1639408538.987736,1711,1.8010458946228027
1639408588.651385,1777,1.9380888938903809
1639408625.741107,1847,2.143242835998535
1639408626.714182,1860,1.914873480796814
1639408627.262246,1867,1.9835844039916992
1639408646.29162,1899,1.899451494216919
1639408646.472418,1902,1.8766330480575562
1639408646.942418,1909,1.8098833560943604
1639408663.205737,1940,1.9059079885482788
1639408682.752579,1960,1.9573129415512085
1639408682.82662,1961,2.074190855026245
1639408684.118291,1979,1.8102542161941528
1639408723.798405,2070,1.7193429470062256
1639408724.46651,2079,1.6866644620895386
1639408739.491936,2089,1.7805415391921997
1639408740.236829,2100,1.711625337600708
1639408795.797218,2209,2.1159818172454834
1639408797.796415,2239,1.7009552717208862
