Wall time,Step,Value
1638814522.2186944,18,15.037233352661133
1638814536.8017359,47,14.914267539978027
1638814544.3433974,62,13.71504020690918
1638814544.8475807,63,14.0829496383667
1638814548.8676484,71,13.477511405944824
1638814551.8852057,77,13.875640869140625
1638814554.3997726,82,14.21288013458252
1638814557.9187772,89,14.09463119506836
1638814564.9565127,103,13.691414833068848
1638814566.9669075,107,13.259702682495117
1638814577.523403,128,13.391398429870605
1638814578.5287123,130,13.468515396118164
1638814592.1196017,157,12.757831573486328
1638814593.62877,160,13.950523376464844
1638814595.6387763,164,13.119972229003906
1638814599.6614535,172,13.362579345703125
1638814609.2175033,191,13.982501983642578
1638814615.257875,203,13.425455093383789
1638814628.3292062,229,13.692091941833496
1638814635.871494,244,13.827596664428711
1638814636.3746839,245,14.181252479553223
1638814643.4121053,259,14.014400482177734
1638814649.4441047,271,14.206868171691895
1638814650.9515052,274,14.157227516174316
1638814654.9728525,282,14.252869606018066
1638814656.4809482,285,14.030535697937012
1638814661.5122302,295,13.937383651733398
1638814672.077667,316,13.987322807312012
1638814673.585302,319,13.960244178771973
1638814687.160885,346,13.722412109375
1638814693.192726,358,14.050341606140137
1638814697.214721,366,14.033012390136719
1638814703.2549963,378,14.104055404663086
1638814707.277818,386,13.575437545776367
1638814709.2901278,390,13.985280990600586
1638814715.330301,402,13.934636116027832
1638814721.8654053,415,13.929327011108398
1638814732.4233954,436,13.895788192749023
1638814732.9258845,437,13.864175796508789
1638814733.931962,439,14.114922523498535
1638814737.4513986,446,13.951340675354004
1638814744.9907317,461,14.034707069396973
1638814747.0009437,465,13.706531524658203
1638814752.0365636,475,13.949164390563965
1638814754.552616,480,13.621034622192383
1638814755.0554347,481,13.779211044311523
1638814769.6377034,510,13.669631004333496
1638814770.6422524,512,14.497182846069336
1638814771.144707,513,14.060693740844727
1638814781.2004523,533,13.73934555053711
1638814783.7139013,538,13.971833229064941
1638814784.7196817,540,13.977893829345703
1638814790.7522256,552,13.900352478027344
1638814792.7635014,556,14.39322280883789
1638814795.7815905,562,14.229639053344727
1638814809.8612206,590,14.081344604492188
